Sample	Chloroquine	Pyrimethamine	Sulfadoxine	Mefloquine	Artemisinin	Piperaquine	SP (uncomplicated)	SP (IPTp)	AS-MQ	DHA-PPQ	HRP2	HRP3	HRP2 and HRP3
PD0079-C	Resistant	Resistant	Resistant	Resistant	Resistant	Sensitive	Resistant	Resistant	Resistant	Sensitive	nodel	nodel	nodel
PD0080-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PD0081-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PD0082-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Undetermined	Undetermined	Sensitive	Sensitive	nodel	nodel	nodel
PD0083-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Undetermined	Sensitive	Sensitive	nodel	nodel	nodel
PD0084-C	Resistant	Resistant	Resistant	Resistant	Undetermined	Sensitive	Resistant	Undetermined	Undetermined	Sensitive	nodel	nodel	nodel
PD0085-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0086-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0087-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0088-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0089-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	Sensitive	nodel	nodel	nodel
PD0090-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0091-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0092-C	Resistant	Resistant	Resistant	Sensitive	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0093-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
PD0094-C	Resistant	Resistant	Resistant	Resistant	Sensitive	Sensitive	Resistant	Resistant	Sensitive	Sensitive	nodel	nodel	nodel
